Title,Author,PublishedDate,URL
“Build an audience? Bah. I’m a nobody.”,Nathan Kontny,"December 28, 2017",https://m.signalvnoise.com/build-an-audience-bah-im-a-nobody/
"Opening the Rework Mailbag, Part 2",Wailin Wong,"December 26, 2017",https://m.signalvnoise.com/opening-the-rework-mailbag-part-2/
Make Better Content,Nathan Kontny,"December 23, 2017",https://m.signalvnoise.com/make-better-content/
"Basecamp doesn’t employ anyone in San Francisco, but now we pay everyone as though all did",DHH,"December 22, 2017",https://m.signalvnoise.com/basecamp-doesnt-employ-anyone-in-san-francisco-but-now-we-pay-everyone-as-though-all-did/
The books I read in 2017,DHH,"December 21, 2017",https://m.signalvnoise.com/the-books-i-read-in-2017/
Previewing the Basecamp 3 refresh,Jason Fried,"December 21, 2017",https://m.signalvnoise.com/previewing-the-basecamp-3-refresh/
The presence prison,Jason Fried,"December 21, 2017",https://m.signalvnoise.com/the-presence-prison/
What’s new in Basecamp for iOS,Jason Zimdars,"December 21, 2017",https://m.signalvnoise.com/whats-new-in-basecamp-for-ios/
Quitting,Nathan Kontny,"December 20, 2017",https://m.signalvnoise.com/quitting/
Let’s bury the hustle,DHH,"December 19, 2017",https://m.signalvnoise.com/lets-bury-the-hustle/
