Title,Author,PublishedDate,URL
"People, Not Robots: Bringing the Humanity Back to Customer Support",kristinaards,"October 24, 2018",https://m.signalvnoise.com/people-not-robots-bringing-the-humanity-back-to-customer-support/
The Myth of the Overnight Sensation,Wailin Wong,"October 23, 2018",https://m.signalvnoise.com/the-myth-of-the-overnight-sensation/
"The Bezos way: sleep, puttering, and three high-quality decisions a day",Dan Kim,"October 16, 2018",https://m.signalvnoise.com/the-bezos-way-sleep-puttering-and-three-high-quality-decisions-a-day/
"DHH on a calm writing process, #blessings, and late-stage capitalism",Wailin Wong,"October 16, 2018",https://m.signalvnoise.com/dhh-on-a-calm-writing-process-blessings-and-late-stage-capitalism/
New in Basecamp: Sort the Message Board,Scott Upton,"October 15, 2018",https://m.signalvnoise.com/new-in-basecamp-sort-the-message-board/
Working in quality time instead of clock time,Jonas Downey,"October 9, 2018",https://m.signalvnoise.com/working-in-quality-time-instead-of-clock-time/
"DHH on a new book, resetting ambition levels, and responsible software design",Wailin Wong,"October 9, 2018",https://m.signalvnoise.com/dhh-on-a-new-book-resetting-ambition-levels-and-responsible-software-design/
Our new book “It Doesn’t Have to Be Crazy at Work” is out!,Jason Fried,"October 6, 2018",https://m.signalvnoise.com/our-new-book-it-doesnt-have-to-be-crazy-at-work-is-out/
Under Pressure,Jim Mackenzie,"October 4, 2018",https://m.signalvnoise.com/under-pressure/
The next big jump in Basecamp accessibility!,Michael Berger,"October 3, 2018",https://m.signalvnoise.com/the-next-big-jump-in-basecamp-accessibility/
